,id3,f1_by_id3_min,f1_by_id3_max,f1_by_id3_mean,f1_by_id3_median,f1_by_id3_count,f1_by_id3_sum,f1_by_id3_kvad_sum,f1_by_id3_interkvartil_razmah,f1_by_id3_range_dannih,f1_by_id3_quant90,f2_by_id3_min,f2_by_id3_max,f2_by_id3_mean,f2_by_id3_median,f2_by_id3_count,f2_by_id3_sum,f2_by_id3_kvad_sum,f2_by_id3_interkvartil_razmah,f2_by_id3_range_dannih,f2_by_id3_quant90,f3_by_id3_min,f3_by_id3_max,f3_by_id3_mean,f3_by_id3_median,f3_by_id3_count,f3_by_id3_sum,f3_by_id3_kvad_sum,f3_by_id3_interkvartil_razmah,f3_by_id3_range_dannih,f3_by_id3_quant90,f4_by_id3_min,f4_by_id3_max,f4_by_id3_mean,f4_by_id3_median,f4_by_id3_count,f4_by_id3_sum,f4_by_id3_kvad_sum,f4_by_id3_interkvartil_razmah,f4_by_id3_range_dannih,f4_by_id3_quant90,f5_by_id3_min,f5_by_id3_max,f5_by_id3_mean,f5_by_id3_median,f5_by_id3_count,f5_by_id3_sum,f5_by_id3_kvad_sum,f5_by_id3_interkvartil_razmah,f5_by_id3_range_dannih,f5_by_id3_quant90,f6_by_id3_min,f6_by_id3_max,f6_by_id3_mean,f6_by_id3_median,f6_by_id3_count,f6_by_id3_sum,f6_by_id3_kvad_sum,f6_by_id3_interkvartil_razmah,f6_by_id3_range_dannih,f6_by_id3_quant90,f7_by_id3_min,f7_by_id3_max,f7_by_id3_mean,f7_by_id3_median,f7_by_id3_count,f7_by_id3_sum,f7_by_id3_kvad_sum,f7_by_id3_interkvartil_razmah,f7_by_id3_range_dannih,f7_by_id3_quant90,f8_by_id3_min,f8_by_id3_max,f8_by_id3_mean,f8_by_id3_median,f8_by_id3_count,f8_by_id3_sum,f8_by_id3_kvad_sum,f8_by_id3_interkvartil_razmah,f8_by_id3_range_dannih,f8_by_id3_quant90
0,27166662291578269,9,9,9.0,9.0,1,9,81,0.0,0,9.0,9,9,9.0,9.0,1,9,81,0.0,0,9.0,4.111111111111111,4.111111111111111,4.111111111111111,4.111111111111111,1,4.111111111111111,16.90123456790123,0.0,0.0,4.111111111111111,47,47,47.0,47.0,1,47,2209,0.0,0,47.0,10,10,10.0,10.0,1,10,100,0.0,0,10.0,4.829787234042553,4.829787234042553,4.829787234042553,4.829787234042553,1,4.829787234042553,23.326844726120413,0.0,0.0,4.829787234042553,49,49,49.0,49.0,1,49,2401,0.0,0,49.0,78,78,78.0,78.0,1,78,6084,0.0,0,78.0
1,75505668647254912,1,16,7.555555555555555,6.0,9,68,826,12.0,15,15.2,1,16,7.555555555555555,6.0,9,68,826,12.0,15,15.2,1.0,5.0,4.324540274540275,4.75,9,38.920862470862474,181.4653536576089,0.5,4.0,5.0,7,702,216.88888888888889,104.0,9,1952,924732,320.0,695,536.4000000000001,1,316,88.22222222222223,27.0,9,794,164468,135.0,315,208.00000000000003,3.673076923076923,4.808080808080808,4.458324491990103,4.526315789473684,9,40.12492042791093,179.9376283973928,0.4724824355971897,1.135003885003885,4.779905247161884,5,65,36.22222222222222,33.0,9,326,14532,20.0,60,58.6,8,134,56.44444444444444,54.0,9,508,39398,41.0,126,86.00000000000001
2,89524856874974827,1,18,7.0,5.0,5,35,415,3.0,17,13.600000000000001,1,18,6.8,4.0,5,34,406,3.0,17,13.600000000000001,2.0,5.0,4.24,5.0,5,21.2,96.64,0.7999999999999998,3.0,5.0,9,225,68.0,35.0,5,340,54512,11.0,216,151.40000000000003,4,38,11.8,5.0,5,59,1559,2.0,34,25.6,4.371428571428571,5.0,4.713451025938831,4.751111111111111,5,23.567255129694153,111.3322488944885,0.31138211382113834,0.628571428571429,4.951219512195122,2,211,54.6,25.0,5,273,46027,23.0,209,138.20000000000002,3,413,105.6,50.0,5,528,176058,46.0,410,269.40000000000003
3,93185620928058855,20,20,20.0,20.0,1,20,400,0.0,0,20.0,17,17,17.0,17.0,1,17,289,0.0,0,17.0,4.5,4.5,4.5,4.5,1,4.5,20.25,0.0,0.0,4.5,313,313,313.0,313.0,1,313,97969,0.0,0,313.0,76,76,76.0,76.0,1,76,5776,0.0,0,76.0,4.329073482428115,4.329073482428115,4.329073482428115,4.329073482428115,1,4.329073482428115,18.74087721626229,0.0,0.0,4.329073482428115,24,24,24.0,24.0,1,24,576,0.0,0,24.0,36,36,36.0,36.0,1,36,1296,0.0,0,36.0
4,96661188109325683,17,56,36.5,36.5,2,73,3425,19.5,39,52.1,17,45,31.0,31.0,2,62,2314,14.0,28,42.2,4.589285714285714,5.0,4.794642857142858,4.794642857142858,2,9.589285714285715,46.06154336734694,0.20535714285714324,0.4107142857142856,4.958928571428571,217,278,247.5,247.5,2,495,124373,30.5,61,271.9,54,87,70.5,70.5,2,141,10485,16.5,33,83.7,4.888489208633094,4.935483870967742,4.911986539800418,4.911986539800418,2,9.823973079600837,48.256327783504936,0.023497331167324553,0.04699466233464822,4.930784404734277,49,78,63.5,63.5,2,127,8485,14.5,29,75.1,65,186,125.5,125.5,2,251,38821,60.5,121,173.9
5,111722113303989306,1,75,18.333333333333332,6.0,6,110,6038,10.5,74,46.5,1,63,16.0,5.5,6,96,4336,10.0,62,40.0,1.0,5.0,4.014444444444444,4.71,6,24.086666666666666,108.90084444444445,1.1050000000000004,4.0,5.0,63,2433,634.1666666666666,271.5,6,3805,6483919,385.75,2370,1526.5,5,183,60.333333333333336,35.5,6,362,43848,56.0,178,134.0,2.217741935483871,4.801369863013699,4.144069521303105,4.586549311667795,6,24.86441712781863,108.01448263216405,0.6665490198037807,2.583627927529828,4.780462983294766,18,109,41.666666666666664,30.5,6,250,16060,9.25,91,73.0,24,218,74.66666666666667,52.5,6,448,58906,15.5,194,139.0
6,144005982020145837,25,25,25.0,25.0,1,25,625,0.0,0,25.0,23,23,23.0,23.0,1,23,529,0.0,0,23.0,4.96,4.96,4.96,4.96,1,4.96,24.6016,0.0,0.0,4.96,49,49,49.0,49.0,1,49,2401,0.0,0,49.0,9,9,9.0,9.0,1,9,81,0.0,0,9.0,4.877551020408164,4.877551020408164,4.877551020408164,4.877551020408164,1,4.877551020408164,23.790503956684717,0.0,0.0,4.877551020408164,65,65,65.0,65.0,1,65,4225,0.0,0,65.0,98,98,98.0,98.0,1,98,9604,0.0,0,98.0
7,147319039488091070,1,71,20.583333333333332,9.5,12,247,12263,25.5,70,60.7,1,68,19.666666666666668,9.5,12,236,11056,25.75,67,56.0,1.0,5.0,4.269599595579242,4.795260039499671,12,51.23519514695091,237.96335183803637,0.4407894736842106,4.0,5.0,2,16076,2842.1666666666665,232.0,12,34106,517553590,375.75,16074,14523.000000000005,0,4338,773.1666666666666,75.0,12,9278,37694488,87.25,4338,3919.8000000000015,2.5,5.0,4.249495562820426,4.395299220902547,12,50.993946753845115,222.11960318312867,0.7820051064754461,2.5,4.979661016949152,0,104,39.833333333333336,37.0,12,478,32950,63.25,104,81.3,1,169,63.916666666666664,49.5,12,767,87983,95.5,168,151.4
8,147494687329013625,1,45,19.142857142857142,18.0,7,134,4592,30.0,44,42.0,1,45,13.428571428571429,4.0,7,94,2912,19.0,44,32.400000000000006,3.0,5.0,4.502857142857143,4.733333333333333,7,31.52,145.15662222222224,0.6066666666666665,2.0,5.0,9,223,120.57142857142857,92.0,7,844,138024,91.0,214,220.6,15,99,43.285714285714285,24.0,7,303,19867,49.5,84,80.4,4.555555555555555,4.916666666666667,4.714395163819965,4.753363228699552,7,33.00076614673976,155.6870722844445,0.19635766754587536,0.3611111111111116,4.851282051282052,2,121,37.42857142857143,13.0,7,262,24852,55.0,119,107.2,4,149,55.714285714285715,30.0,7,390,46744,86.5,145,147.8
9,155069009608021134,4,69,22.25,8.0,4,89,4913,19.25,65,51.30000000000001,4,67,21.75,8.0,4,87,4641,18.75,63,49.900000000000006,3.25,5.0,4.3650362318840585,4.605072463768116,4,17.460144927536234,77.9979652383953,0.5951086956521738,1.75,4.91304347826087,22,459,176.5,112.5,4,706,249118,228.5,437,378.90000000000003,4,189,75.0,53.5,4,300,45974,117.5,185,162.60000000000002,3.727272727272727,4.696969696969697,4.096477953555159,3.9808346949891065,4,16.385911814220638,67.76138344009756,0.5992971999405823,0.9696969696969702,4.553503787878788,44,126,99.25,113.5,4,397,43601,25.75,82,123.3,66,253,150.5,141.5,4,602,108410,47.5,187,219.70000000000002
